"","Provider Id","Outlier Rank"
"1",11038,1
"2",14984,2
"3",18700,3
"4",13306,4
"5",13100,5
"6",3255,6
"7",11582,7
"8",3652,8
"9",4756,9
"10",8919,10
"11",14526,11
"12",14117,12
"13",3395,13
"14",18812,14
"15",3211,15
"16",4622,16
"17",19668,17
"18",11743,18
"19",18501,19
"20",12926,20
"21",17231,21
"22",14198,22
"23",9090,23
"24",20067,24
"25",14978,25
"26",5814,26
"27",5416,27
"28",1997,28
"29",8846,29
"30",8654,30
"31",7902,31
"32",5603,32
"33",15924,33
"34",14857,34
"35",6411,35
"36",7650,36
"37",619,37
"38",9085,38
"39",5180,39
"40",12908,40
"41",14582,41
"42",7171,42
"43",5219,43
"44",10837,44
"45",7050,45
"46",7033,46
"47",3156,47
"48",6886,48
"49",10789,49
"50",7109,50
"51",15343,51
"52",16371,52
"53",17592,53
"54",2450,54
"55",1370,55
"56",5592,56
"57",3722,57
"58",1418,58
"59",4996,59
"60",12562,60
"61",7299,61
"62",7366,62
"63",12776,63
"64",9816,64
"65",6724,65
"66",16209,66
"67",4680,67
"68",16032,68
"69",13072,69
"70",15904,70
"71",18993,71
"72",13089,72
"73",2072,73
"74",18397,74
"75",2696,75
"76",6810,76
"77",10206,77
"78",6919,78
"79",13872,79
"80",1635,80
"81",9149,81
"82",11441,82
"83",7985,83
"84",10989,84
"85",13683,85
"86",10212,86
"87",17102,87
"88",18158,88
"89",8552,89
"90",13739,90
"91",8343,91
"92",11989,92
"93",10092,93
"94",12866,94
"95",5338,95
"96",9097,96
"97",18605,97
"98",2036,98
"99",6671,99
"100",2693,100
"101",7989,101
"102",15389,102
"103",10974,103
"104",14825,104
"105",8945,105
"106",6972,106
"107",9958,107
"108",4495,108
"109",5062,109
"110",12036,110
"111",1298,111
"112",10870,112
"113",2833,113
"114",5094,114
"115",3705,115
"116",11729,116
"117",4618,117
"118",19262,118
"119",15381,119
"120",11287,120
"121",11871,121
"122",19391,122
"123",12795,123
"124",9881,124
"125",1083,125
"126",9248,126
"127",12679,127
"128",3993,128
"129",4734,129
"130",16354,130
"131",2558,131
"132",5395,132
"133",15353,133
"134",2533,134
"135",11648,135
"136",9025,136
"137",15382,137
"138",19786,138
"139",3709,139
"140",6090,140
"141",14148,141
"142",4613,142
"143",2775,143
"144",5069,144
"145",17421,145
"146",4166,146
"147",729,147
"148",11992,148
"149",18015,149
"150",5724,150
"151",13606,151
"152",12399,152
"153",10424,153
"154",10586,154
"155",9252,155
"156",5006,156
"157",4573,157
"158",16848,158
"159",14473,159
"160",14130,160
"161",15196,161
"162",5139,162
"163",5684,163
"164",13215,164
"165",672,165
"166",15910,166
"167",9971,167
"168",9265,168
"169",8314,169
"170",2580,170
"171",2745,171
"172",14710,172
"173",6832,173
"174",1732,174
"175",14072,175
"176",4367,176
"177",3895,177
"178",2821,178
"179",1671,179
"180",17486,180
"181",15220,181
"182",1089,182
"183",19988,183
"184",10623,184
"185",5234,185
"186",17084,186
"187",4107,187
"188",6162,188
"189",5132,189
"190",15210,190
"191",13844,191
"192",1479,192
"193",2813,193
"194",13173,194
"195",8008,195
"196",15328,196
"197",8316,197
"198",5557,198
"199",6119,199
"200",5133,200
"201",12921,201
"202",5670,202
"203",1481,203
"204",4754,204
"205",12970,205
"206",9317,206
"207",9945,207
"208",13154,208
"209",16030,209
"210",7471,210
"211",19250,211
"212",12106,212
"213",9284,213
"214",8745,214
"215",728,215
"216",3703,216
"217",13911,217
"218",4095,218
"219",8688,219
"220",14131,220
"221",9496,221
"222",2012,222
"223",9489,223
"224",12839,224
"225",11656,225
"226",10488,226
"227",2237,227
"228",16751,228
"229",9161,229
"230",11621,230
"231",7992,231
"232",13478,232
"233",2277,233
"234",6325,234
"235",2681,235
"236",8817,236
"237",13024,237
"238",10455,238
"239",201,239
"240",3731,240
"241",6658,241
"242",2090,242
"243",9918,243
"244",16388,244
"245",7069,245
"246",10012,246
"247",14577,247
"248",10414,248
"249",6292,249
"250",2440,250
"251",9115,251
"252",6547,252
"253",17799,253
"254",19168,254
"255",17041,255
"256",10596,256
"257",16814,257
"258",18278,258
"259",3508,259
"260",2170,260
"261",10879,261
"262",16928,262
"263",12680,263
"264",9963,264
"265",2887,265
"266",4893,266
"267",18552,267
"268",11406,268
"269",15607,269
"270",19518,270
"271",4933,271
"272",13702,272
"273",16358,273
"274",17774,274
"275",9246,275
"276",17589,276
"277",11712,277
"278",16242,278
"279",3631,279
"280",8865,280
"281",10888,281
"282",7678,282
"283",3560,283
"284",10890,284
"285",2800,285
"286",7160,286
"287",17294,287
"288",6592,288
"289",12133,289
"290",8269,290
"291",16629,291
"292",12579,292
"293",7002,293
"294",15493,294
"295",10319,295
"296",4289,296
"297",4306,297
"298",7447,298
"299",4291,299
"300",2661,300
"301",12631,301
"302",3017,302
"303",8807,303
"304",14668,304
"305",14805,305
"306",4063,306
"307",7061,307
"308",1832,308
"309",10481,309
"310",15569,310
"311",2711,311
"312",2774,312
"313",16730,313
"314",4410,314
"315",1769,315
"316",10117,316
"317",11593,317
"318",13209,318
"319",17298,319
"320",7855,320
"321",5482,321
"322",12837,322
"323",7201,323
"324",10715,324
"325",3160,325
"326",3090,326
"327",11613,327
"328",4003,328
"329",2867,329
"330",13394,330
"331",6553,331
"332",19043,332
"333",16306,333
"334",10970,334
"335",11410,335
"336",12427,336
"337",10284,337
"338",15748,338
"339",9598,339
"340",4529,340
"341",12337,341
"342",5517,342
"343",7277,343
"344",11055,344
"345",1895,345
"346",7717,346
"347",5745,347
"348",12005,348
"349",14158,349
"350",10576,350
"351",7543,351
"352",13517,352
"353",3706,353
"354",12453,354
"355",13369,355
"356",15450,356
"357",5730,357
"358",9172,358
"359",7176,359
"360",14885,360
"361",9127,361
"362",9835,362
"363",14575,363
"364",5652,364
"365",4134,365
"366",10394,366
"367",14998,367
"368",8626,368
"369",14065,369
"370",4204,370
"371",14987,371
"372",3169,372
"373",13666,373
"374",6790,374
"375",15536,375
"376",18384,376
"377",10400,377
"378",18134,378
"379",1290,379
"380",10790,380
"381",19506,381
"382",9794,382
"383",3894,383
"384",7511,384
"385",2578,385
"386",18688,386
"387",15633,387
"388",2317,388
"389",3080,389
"390",17809,390
"391",5376,391
"392",1976,392
"393",18645,393
"394",4886,394
"395",14054,395
"396",15004,396
"397",11469,397
"398",19233,398
"399",3929,399
"400",14851,400
"401",6321,401
"402",14228,402
"403",1670,403
"404",9158,404
"405",2688,405
"406",10807,406
"407",12807,407
"408",4102,408
"409",10433,409
